Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Srinagar to Jammu (j and k),https://www.redbus.in/bus-tickets/srinagar-to-jammu,JKRTC - 169878,A/C Seater Executive (2+1),07:30,08h 00m,15:30,4.1,INR 859,17 Seats available
Srinagar to Jammu (j and k),https://www.redbus.in/bus-tickets/srinagar-to-jammu,Jamna Travels-Jammu,Non AC Seater (2+2),19:00,11h 45m,06:45,2.3,600,24 Seats available
Srinagar to Jammu (j and k),https://www.redbus.in/bus-tickets/srinagar-to-jammu,New Pal Travels,NON A/C Seater / Sleeper (2+2),19:00,10h 00m,05:00,1.7,679,41 Seats available
Delhi to Srinagar,https://www.redbus.in/bus-tickets/delhi-to-srinagar,Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),20:00,19h 20m,15:20,5.0,2355,29 Seats available
Delhi to Srinagar,https://www.redbus.in/bus-tickets/delhi-to-srinagar,Zingbus Plus,A/C Sleeper (2+1),21:35,19h 30m,17:05,3.7,2488,23 Seats available
Jammu (j and k) to Srinagar,https://www.redbus.in/bus-tickets/jammu-to-srinagar,JKRTC - 169877,A/C Seater Executive (2+1),07:30,08h 00m,15:30,4.0,INR 859,18 Seats available
Jammu (j and k) to Srinagar,https://www.redbus.in/bus-tickets/jammu-to-srinagar,New Pal Travels,NON A/C Seater / Sleeper (2+2),21:15,10h 00m,07:15,2.1,679,35 Seats available
Jammu (j and k) to Srinagar,https://www.redbus.in/bus-tickets/jammu-to-srinagar,Jamna Travels-Jammu,Non AC Seater (2+2),21:30,10h 30m,08:00,1.2,600,30 Seats available
Jammu (j and k) to Srinagar,https://www.redbus.in/bus-tickets/jammu-to-srinagar,North Kashmir Tour and Travels,,17:15,10h 00m,03:15,2.3,INR 699,40 Seats available
Jammu (j and k) to Srinagar,https://www.redbus.in/bus-tickets/jammu-to-srinagar,,,,,,,,
Katra (jammu and kashmir) to Jammu (j and k),https://www.redbus.in/bus-tickets/katra-to-jammu,JKRTC - 169884,A/C Seater Executive (2+1),12:00,01h 00m,13:00,2.0,INR 166,19 Seats available
Katra (jammu and kashmir) to Jammu (j and k),https://www.redbus.in/bus-tickets/katra-to-jammu,FlixBus,Bharat Benz A/C Sleeper (2+1),18:30,01h 30m,20:00,4.0,INR 88.39,28 Seats available
Katra (jammu and kashmir) to Jammu (j and k),https://www.redbus.in/bus-tickets/katra-to-jammu,Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),18:45,01h 25m,20:10,4.4,INR 103,40 Seats available
Katra (jammu and kashmir) to Jammu (j and k),https://www.redbus.in/bus-tickets/katra-to-jammu,City Land Travels,A/C Seater/Sleeper (2+1),19:00,01h 30m,20:30,3.5,647,30 Seats available
Katra (jammu and kashmir) to Jammu (j and k),https://www.redbus.in/bus-tickets/katra-to-jammu,,,,,,,,
Jammu (j and k) to Poonch,https://www.redbus.in/bus-tickets/jammu-to-poonch,JKRTC - 170804,A/C Seater Executive (2+1),06:45,07h 45m,14:30,2.5,INR 786,19 Seats available
Jammu (j and k) to Poonch,https://www.redbus.in/bus-tickets/jammu-to-poonch,JKRTC - 170806,Non AC Seater (2+2),07:25,08h 05m,15:30,2.5,INR 491,33 Seats available
Jammu (j and k) to Poonch,https://www.redbus.in/bus-tickets/jammu-to-poonch,JKRTC - 170808,NON A/C Seater (2+3),07:30,08h 00m,15:30,2.5,INR 386,42 Seats available
Mendhar (J & K) to Jammu (j and k),https://www.redbus.in/bus-tickets/mendhar-j-k-to-jammu,JKRTC - 170811,Non AC Seater (2+2),06:50,07h 40m,14:30,3.4,INR 434,33 Seats available
Mendhar (J & K) to Jammu (j and k),https://www.redbus.in/bus-tickets/mendhar-j-k-to-jammu,JKRTC - 170813,NON A/C Seater (2+3),07:00,07h 45m,14:45,3.4,INR 334,42 Seats available
