Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 52,SWIFT-GARUDA A/C SEATER BUS,12:00,08h 20m,20:20,3.9,INR 627,2 Seats available
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 1378,AC MULTI AXLE,13:46,07h 39m,21:25,3.1,INR 729,16 Seats available
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 129,SWIFT-GARUDA A/C SEATER BUS,14:15,08h 50m,23:05,4.2,INR 627,27 Seats available
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 235,,15:00,10h 00m,01:00,4.0,INR 620,
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,,,,,,,,
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,,,,,,,,
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,,,,,,,,
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,,,,,,,,
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,,,,,,,,
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,,,,,,,,
Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,KSRTC (Kerala) - 788,Super Fast Non AC Seater (2+3),07:00,08h 20m,15:20,4.4,INR 432,14 Seats available
Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,KSRTC (Kerala) - 2132,Swift Deluxe Non AC Air Bus (2+2),07:30,08h 20m,15:50,3.4,INR 567,16 Seats available
Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,KSRTC (Kerala) - 580,Super Express Non AC Seater Air Bus (2+2),08:05,08h 40m,16:45,3.1,INR 469,16 Seats available
Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,,,,,,,,
Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,,,,,,,,
Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,,,,,,,,
Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,,,,,,,,
Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,,,,,,,,
Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,,,,,,,,
Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,,,,,,,,
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,KSRTC (Kerala) - 3101,Low Floor AC Seater 2+2,00:05,05h 20m,05:25,3.0,INR 422,19 Seats available
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,KSRTC (Kerala) - 2368,Low Floor AC Seater 2+2,00:30,05h 19m,05:49,3.9,INR 383,3 Seats available
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,KSRTC (Kerala) - 2820,Super Fast Non AC Seater (2+3),00:55,04h 55m,05:50,2.8,INR 269,39 Seats available
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,,,,,,,,
