Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - RKD0134,Janrath AC Seater 2+3,00:31,05h 00m,05:31,1.7,INR 570,47 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - BLY0112,Janrath AC Seater 2+2,05:31,04h 44m,10:15,2.8,INR 648,34 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - GRH0229,Ordinary Non AC Seater 2+3,06:00,06h 30m,12:30,3.3,INR 459.8,52 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,,,,,,,,
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,,,,,,,,
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,,,,,,,,
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,,,,,,,,
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,,,,,,,,
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,,,,,,,,
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,,,,,,,,
Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - GND0080,Ordinary Non AC Seater 2+3,00:10,07h 20m,07:30,3.3,INR 468.6,52 Seats available
Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - PLB0002,Shatabdi AC Seater 2+2,00:25,05h 35m,06:00,3.5,INR 648,23 Seats available
Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - GRH0126,Ordinary Non AC Seater 2+3,00:31,05h 59m,06:30,3.3,INR 459.8,52 Seats available
Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,,,,,,,,
Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,,,,,,,,
Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,,,,,,,,
Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,,,,,,,,
Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,,,,,,,,
Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,,,,,,,,
Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,,,,,,,,
Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - MNP0128,Ordinary Non AC Seater 2+3,00:45,02h 52m,03:37,3.3,INR 255,52 Seats available
Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - MHB0184,Ordinary Non AC Seater 2+3,01:08,03h 56m,05:04,3.3,INR 287.1,52 Seats available
Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - MNP0132,Ordinary Non AC Seater 2+3,01:20,02h 52m,04:12,3.3,INR 280.5,52 Seats available
Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,,,,,,,,
Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,,,,,,,,
Delhi to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,UPSRTC - MNP0147,Ordinary Non AC Seater 2+3,00:45,02h 49m,03:34,3.3,INR 280.5,52 Seats available
Delhi to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,UPSRTC - MNP0121,Ordinary Non AC Seater 2+3,03:30,03h 06m,06:36,3.3,INR 280.5,52 Seats available
Delhi to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,UPSRTC - MNP0276,Ordinary Non AC Seater 2+3,03:50,03h 06m,06:56,3.3,INR 280.5,52 Seats available
Delhi to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,,,,,,,,
Delhi to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,,,,,,,,
Delhi to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,,,,,,0,,
Lucknow to Allahabad,https://www.redbus.in/bus-tickets/lucknow-to-allahabad,UPSRTC - RBL0038,Ordinary Non AC Seater 2+3,00:01,05h 00m,05:01,3.3,INR 310,52 Seats available
